dataset_type,row_id,arxiv_id,category,abstract,Introduction/Background,Aim/Purpose,Methodology,Results / Contributions ,Conclusions,Limitations of Research / Gap,Not Sure,ERRORS,TOO LONG,length,number_of_errors
test,3801,1410.5738,cs,<S0> The study of collective decision making system has become the central part of the swarm - intelligence related research in recent years. </S0> <S1> The most challenging task of modelling a collective decision making system is to develop the macroscopic stochastic equation from its microscopic model . in this repo. </S1> <S2> We have investigated the behaviour of a collective decision making system with specified microscopic rules that resemble the chemical reaction and used different group size. </S2> <S3> Then we ventured to derive a generalized analytical model of a collective - decision system using hyper - geometric distribution . + index terms -_swarm _ ; _ collective decision making _ ; _ noise _ ; _ group size _ ; _ hyper - geometric distribution. </S3>,0.5,0.0,0.0,0.0,0.0,0.0,,0.5,,4,2
test,1105,1703.03916,cs,<S0> Axioms can be used to model derived predicates in domain - independent planning models . formulating models which use axio. </S0> <S1> Can sometimes result in problems with much smaller search spaces and shorter plans than the original model. </S1> <S2> Previous work on axiom - aware planners focused solely on state - space search planners. </S2> <S3> We propose axiom - aware planners based on answer set programming and integer programming . we evaluate them on pddl domains with axioms a. </S3> <S4> Show that they can exploit additional expressivity of axioms. </S4>,0.2,0.0,0.0,0.0,0.0,0.0,,0.8,,5,4
test,4615,1109.2296,cs,"<S0> We consider a bandit problem over a graph where the rewards are not directly observed . inste. </S0> <S1> , the decision maker can compare two nodes and receive ( stochastic ) information pertaining to the difference in their value. </S1> <S2> The graph structure describes the set of possible comparisons . consequently , comparing between two nodes that are relatively far requires estimating the difference between every pair of nodes on the path between them. </S2> <S3> We analyze this problem from the perspective of sample complexity : how many queries are needed to find an approximately optimal node with probability more than @xmath 0 in the pac setup. </S3> <S4> We show that the topology of the graph plays a crucial in defining the sample complexity : graphs with a low diameter have a much better sample complexity. </S4>",0.0,0.0,0.2,0.2,0.2,0.0,,0.6,,5,3
test,4710,1312.2241,cs,"<S0> Agent - based modeling and simulation ( abms ) is a simple and yet powerful method for simulation of interactions among individual agents . using abms. </S0> <S1> Different phenomena can be modeled and simulated without spending additional time on unnecessary complexities. </S1> <S2> Although abms is well - matured in many different fields such as economic , social , and natural phenomena , it has not received much attention in the context of mobile ad - hoc networks ( manets ) . in this pap. </S2> <S3> , we present abmq , a powerful agent - based platform suitable for modeling and simulation of self - organization in wireless networks , and particularly manets . by utilizing the unique potentials of qt application framework. </S3> <S4> Abmq provides the ability to easily model and simulate self - organizing algorithms , and then reuse the codes and models developed during simulation process for building real third - party applications for several desktop and mobile platforms , which substantially decreases the development time and cost , and prevents probable bugs that can happen as a result of rewriting codes . agent - based modeling and simulation , qt , manet , self - organizati. </S4>",0.0,0.0,0.0,0.2,0.0,0.0,,0.8,,5,4
test,3659,1009.3589,cs,"<S0> Recent theoretical and empirical work in statistical machine learning has demonstrated the importance of learning algorithms for deep architectures , i.e. , function classes obtained by composing multiple non - linear transformations. </S0> <S1> Self - taught learning ( exploiting unlabeled examples or examples from other distributions ) has already been applied to deep learners , but mostly to show the advantage of unlabeled examples . he. </S1> <S2> We explore the advantage brought by _ out - of - distribution examples_ . for this purpose we developed a powerful generator of stochastic variations and noise processes for character images , including not only affine transformations but also slant , local elastic deformations , changes in thickness , background images , grey level changes , contrast , occlusion , and various types of noise. </S2> <S3> The out - of - distribution examples are obtained from these highly distorted images or by including examples of object classes different from those in the target test set. </S3> <S4> We show that _ deep learners benefit more from out - of - distribution examples than a corresponding shallow learner _ , at least in the area of handwritten character recognition. </S4> <S5> In fact , we show that they beat previously published results and reach human - level performance on both handwritten digit classification and 62 - class handwritten character recognition. </S5>",0.16666666666666666,0.0,0.0,0.3333333333333333,0.16666666666666666,0.0,,0.5,,6,3
test,5883,1412.6703,cs,"<S0> One of the most important aims of the fields of robotics , artificial intelligence and artificial life is the design and construction of systems and machines as versatile and as reliable as living organisms at performing high level human - like tasks. </S0> <S1> But how are we to evaluate artificial systems if we are not certain how to measure these capacities in living systems , let alone how to define life or intelligence ? he. </S1> <S2> I survey a concrete metric towards measuring abstract properties of natural and artificial systems , such as the ability to react to the environment and to control one s own behaviour. </S2> <S3> + * keywords : * _ natural computing ; systems behaviour ; controllability ; programmability ; turing test ; compressibility ; kolmogorov complexity ; randomness ; robotics ; artificial life. </S3>",0.25,0.0,0.25,0.0,0.0,0.0,,0.5,,4,2
test,3301,1510.04083,cs,"<S0> As social networking takes to the mobile world , smartphone apps provide users with ever - changing ways to interact with each other . over the past couple of years , an increasing number of apps have entered the market offering end - to - end encryption , self - destructing messages , or some degree of anonymi. </S0> <S1> . however , little work thus far has examined the properties they offer. </S1> <S2> To this end , this paper presents a taxonomy of 18 of these apps : we first look at the features they promise in their appeal to broaden their reach and focus on 8 of the more popular ones. </S2> <S3> We present a technical evaluation , based on static and dynamic analysis , and identify a number of gaps between the claims and reality of their promises. </S3>",0.25,0.0,0.0,0.0,0.0,0.25,,0.5,,4,2
test,6114,804.1179,cs,"<S0> We propose a dynamical boolean network ( dbn ) , which is a virtual boolean network ( vbn ) whose set of states is fixed but whose transition matrix can change from one discrete time step to another. </S0> <S1> The transition matrix @xmath0 of our dbn for time step @xmath 1 is of the form @xmath2 , where @ xmath 3 is a transition matrix ( of a vbn ) defined at time step @xmath1 in the course of the construction of our dbn and @xmath4 is the matrix representation of some randomly chosen permutation @xmath5 of the states of our dbn . for each of several classes of such permutatio. </S1> <S2> , we carried out a number of simulations of a dbn with two nodes ; each of our simulations consisted of 1,000 trials of 10,000 time steps each . in one of our simulations. </S2> <S3> Only six of the 16 possible single - node transition rules for a vbn with two nodes were visited a total of 300,000 times ( over all 1,000 trials ) . in that simulation , linearity appears to play a significant role in that three of those six single - node transition rules are transition rules of a linear virtual boolean network ( lvbn ) ; the other three are the negations of the first three. </S3> <S4> We also discuss the notions of a probabilistic boolean network and a hidden markov model in both cases , in the context of using an arbitrary ( though not necessarily one - to - one ) function to label the states of a vbn. </S4> <S5> [ thm ] note internal measurement ; boolean network ; probabilistic boolean network ; hidden markov model ; lineari. </S5>",0.16666666666666666,0.0,0.0,0.0,0.0,0.0,,0.8333333333333334,,6,5
test,870,812.0698,cs,"<S0> A distributed classification paradigm known as _ collaborative tagging _ has been widely adopted in new web applications designed to manage and share online resources. </S0> <S1> Users of these applications organize resources ( web pages , digital photographs , academic papers ) by associating with them freely chosen text labels , or. </S1> <S2> Tags_. here we leverage the social aspects of collaborative tagging and introduce a notion of _ resource distance _ based on the collective tagging activity of users . we collect data from a popular system and perform experiments showing that our definition of distance can be used to build a weighted network of resources with a detectable community structure. </S2> <S3> We show that this community structure clearly exposes the semantic relations among resources. </S3> <S4> The communities of resources that we observe are a genuinely emergent feature , resulting from the uncoordinated activity of a large number of users , and their detection paves the way to mapping emergent semantics in social tagging systems. </S4>",0.0,0.0,0.0,0.2,0.2,0.0,,0.6,,5,3
test,3108,1506.08349,cs,"<S0> A deep learning approach has been proposed recently to derive speaker identifies ( d - vector ) by a deep neural network ( dnn ). </S0> <S1> This approach has been applied to text - dependent speaker recognition tasks and shows reasonable performance gains when combined with the conventional i - vector approach . although promising , the existing d - vector implementation still can not compete with the i - vector baseline. </S1> <S2> This paper presents two improvements for the deep learning approach : a phone - dependent dnn structure to normalize phone variation , and a new scoring approach based on dynamic time warping ( dtw ). </S2> <S3> Experiments on a text - dependent speaker recognition task demonstrated that the proposed methods can provide considerable performance improvement over the existing d - vector implementation . * index terms * : d - vector , time dynamic warping , speaker recogniti. </S3>",0.5,0.0,0.0,0.0,0.0,0.0,,0.5,,4,2
