dataset_type,row_id,arxiv_id,category,abstract,Introduction/Background,Aim/Purpose,Methodology,Results / Contributions ,Conclusions,Limitations of Research / Gap,Not Sure,ERRORS,TOO LONG,length,number_of_errors
test,2399,1403.08,cs,"<S0> A suffix tree is able to efficiently locate a pattern in an indexed string , but not in general the most recent copy of the pattern in an online stream , which is desirable in some applications. </S0> <S1> We study the most general version of the problem of locating a most recent match : supporting queries for arbitrary patterns , at each step of processing an online stream. </S1> <S2> We present augmentations to ukkonen s suffix tree construction algorithm for optimal - time queries , maintaining indexing time within a logarithmic factor in the size of the indexed string. </S2> <S3> We show that the algorithm is applicable to sliding - window indexing , and sketch a possible optimization for use in the special case of Lempel - Ziv compression. </S3>",0.5,0.0,0.0,0.5,0.0,0.0,,0.0,,4,0
test,1217,709.0677,cs,"<S0> Protein structure alignment is a fundamental problem in computational and structural biology. </S0> <S1> While there has been lots of experimental / heuristic methods and empirical results , very little is known regarding the algorithmic / complexity aspects of the problem , especially on protein local structure alignment. </S1> <S2> A well - known measure to characterize the similarity of two polygonal chains is the famous frchet distance and with the application of protein - related research , a related discrete frchet distance has been used recently . in this paper , following the recent work of Jiang , _ et Al. </S2> <S3> _ we investigate the protein local structural alignment problem using bounded discrete frchet distance . given @xmath0 proteins ( or protein backbones , which are 3d polygonal chains ) , each of length @xmath 1 , our main results are summarized as follows .. </S3> <S4> If the number of proteins , @xmath0 , is not part of the input , then the problem is np - complete ; moreover , under bounded discrete frchet distance it is np - hard to approximate the maximum size common local structure within a factor of @xmath 2. </S4> <S5> These results hold both when all the proteins are static or when translation / rotation are allowed .. </S5> <S6> If the number of proteins , @xmath0 , is a constant , then there is a polynomial time solution for the problem. </S6> <S7> * keywords * : protein structure alignment , frchet distance , discrete frchet distance , approximation , np - hardne. </S7>",0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,8,0
test,5360,1605.06327,cs,"<S0> In this paper , we consider combinatorial game rulesets based on data structures normally covered in an undergraduate computer science data structures course : arrays , stacks , queues , priority queues , sets , linked lists , and binary trees. </S0> <S1> We describe many rulesets as well as computational and mathematical properties about them. </S1> <S2> Two of the rulesets , and , are new. </S2> <S3> We show polynomial - time solutions to and to on paths. </S3>",0.5,0.0,0.0,0.25,0.25,0.0,,0.0,,4,0
test,5193,1609.05063,cs,"<S0> Tourism industry has grown tremendously in the previous several decades . despite its global impact. </S0> <S1> There still remain a number of open questions related to better understanding of tourists and their habits . in this wo. </S1> <S2> We analyze the largest data set of travel receipts considered thus far , and focus on exploring and modeling booking behavior of online customers. </S2> <S3> We extract useful , actionable insights into the booking behavior , and tackle the task of predicting the booking time. </S3> <S4> The presented results can be directly used to improve booking experience of customers and optimize targeting campaigns of travel operators. </S4> <S5> = 10000 = 100. </S5>",0.16666666666666666,0.0,0.0,0.3333333333333333,0.16666666666666666,0.0,S5,0.16666666666666666,,6,1
test,2282,1403.4482,cs,"<S0> In this paper , we present the design , implementation and our year - long maintenance experience of snsapi , a python - based middleware which unifies the interfaces and data structures of heterogeneous social networking services ( sns ) . unlike most prior works. </S0> <S1> Our middleware is user - oriented and requires zero infrastructure support. </S1> <S2> It enables a user to readily conduct online social activities in a programmable , cross - platform fashion while gradually reducing the dependence on centralized online social networks ( osn ). </S2> <S3> More importantly , as the snsapi middleware can be used to support decentralized social networking services via conventional communication channels such as rss or email , it enables the deployment of decentralized social networks ( dsn ) in an incremental , ad hoc manner . to demonstrate the viability of such type of ds. </S3> <S4> , we have deployed an experimental 6000 - node snsapi - based dsn on planetlab and evaluate its performance by replaying traces of online social activities collected from a mainstream osn. </S4> <S5> Our results show that , with only mild resource consumption , the snsapi - based dsn can achieve acceptable forwarding latency comparable to that of a centralized osn. </S5> <S6> We also develop an analytical model to characterize the trade - offs between resource consumption and message forwarding delay in our dsn . via 20 parameterized experiments on planetl. </S6> <S7> , we have found that the empirical measurement results match reasonably with the performance predicted by our analytical model. </S7>",0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,8,0
test,6127,1701.06539,cs,"<S0> Assume a set of objects is given with information about their bilateral relationships , allowing for incomplete and multiple comparisons as well as different preference intensities. </S0> <S1> An axiomatic approach is applied for the problem of ranking the objects. </S1> <S2> Consistency requires the preservation of relative ranking if two sets of such preferences are aggregated. </S2> <S3> Self - consistency assigns the same rank for objects with the same performance , furthermore , an object should be ranked strictly higher if it shows an obviously better performance than another. </S3> <S4> It is revealed that these two properties can not be satisfied simultaneously. </S4> <S5> The impossibility holds under various restrictions on the domain. </S5> <S6> However , a positive result emerges if only the aggregation of ranking problems with the same comparison structure is allowed , for example , we have two round - robin tournaments. </S6>",0.14285714285714285,0.0,0.42857142857142855,0.42857142857142855,0.0,0.0,,0.0,,7,0
test,3280,cs0205068,cs,"<S0> This paper presents a comparative evaluation among the systems that participated in the spanish and english lexical sample tasks of senseval - 2. </S0> <S1> The focus is on pairwise comparisons among systems to assess the degree to which they agree , and on measuring the difficulty of the test instances included in these tasks. </S1>",0.5,0.0,0.0,0.0,0.5,0.0,,0.0,,2,0
test,2968,1309.4109,cs,"<S0> Based on previous results of digital topology , this paper focuses on algorithms of topological invariants of objects in 2d and 3d digital spaces. </S0> <S1> We specifically interest in solving hole counting of 2d objects and genus of closed surface in 3d. </S1> <S2> We first prove a new formula for hole counting in 2d. </S2> <S3> The number of of holes is @xmath0 where @xmath1 and @xmath2 are sets of inward and outward corner points , respectively. </S3> <S4> This paper mainly deals with algorithm design and implementation of practical computation of topological invariants in digital space. </S4> <S5> The algorithms relating to data structures , and pathological case detection and original data modification are main issues. </S5> <S6> This paper designed fast algorithms for topological invariants such as connected components , hole counting in 2d and boundary surface genus for 3d . for 2d images , we designed a linear time algorithm to solve hole counting problem . in 3d , we designed also @xmath 3 time algorithm to get genus of the closed surface. </S6> <S7> These two algorithms are both in @xmath 4 space complexity. </S7> <S8> Space , number of holes , genus of surfaces , algorithm , time and space complexi. </S8>",0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,9,0
test,3735,1507.01529,cs,"<S0> We consider a large number of text data sets . these are cooking recipes . term distribution and other distributional properties of the da. </S0> <S1> Are investigated. </S1> <S2> Our aim is to look at various analytical approaches which allow for mining of information on both high and low detail scales. </S2> <S3> Metric space embedding is fundamental to our interest in the semantic properties of this data. </S3> <S4> We consider the projection of all data into analyses of aggregated versions of the data. </S4> <S5> We contrast that with projection of aggregated versions of the data into analyses of all the data. </S5> <S6> Analogously for the term set , we look at analysis of selected terms. </S6> <S7> We also look at inherent term associations such as between singular and plural. </S7> <S8> In addition to our use of correspondence analysis in r , for latent semantic space mapping , we also use apache solr . setting up the solr server and carrying out queryi. </S8> <S9> Is described. </S9> <S10> A further novelty is that querying is supported in solr based on the principal factor plane mapping of all the data. </S10> <S11> This uses a bounding box query , based on factor projections. </S11>",0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,12,0
test,4509,cs9905011,cs,"<S0> The mortality related to cervical cancer can be substantially reduced through early detection and treatment . howev. </S0> <S1> , current detection techniques , such as pap smear and colposcopy , fail to achieve a concurrently high sensitivity and specificity. </S1> <S2> _ in vivo _ fluorescence spectroscopy is a technique which quickly ,. </S2> <S3> Non - invasively _ and quantitatively probes the biochemical and morphological changes that occur in pre - cancerous tissue. </S3> <S4> A multivariate statistical algorithm was used to extract clinically useful information from tissue spectra acquired from 361 cervical sites from 95 patients at 337 , 380 and 460 nm excitation wavelengths. </S4> <S5> The multivariate statistical analysis was also employed to reduce the number of fluorescence excitation - emission wavelength pairs required to discriminate healthy tissue samples from pre - cancerous tissue samples. </S5> <S6> The use of connectionist methods such as multi layered perceptrons , radial basis function networks , and ensembles of such networks was investigated. </S6> <S7> Rbf ensemble algorithms based on fluorescence spectra potentially provide automated , and near real - time implementation of pre - cancer detection in the hands of non - experts. </S7> <S8> The results are more reliable , direct and accurate than those achieved by either human experts or multivariate statistical algorithms . 0.3 in 6.0 in - 0.3 in 8.7 in 0.2 . </S8>",0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,9,0
