dataset_type,row_id,arxiv_id,category,abstract,Introduction/Background,Aim/Purpose,Methodology,Results / Contributions ,Conclusions,Limitations of Research / Gap,Not Sure,ERRORS,TOO LONG,length,number_of_errors
test,3003,1601.02904,cs,"<S0> Social network has become one of the themes of government issues , mainly dealing with the chaos. </S0> <S1> The use of web is steadily gaining ground in these issues. </S1> <S2> However , most of the web documents are unstructured and lack of semantic . in this pap. </S2> <S3> We proposed an information retrieval driven method for dealing with heterogeneity of features in the web. </S3> <S4> The proposed solution is to compare some approaches have shown the capacity to extract social relation : strength relations and relations based on online academic database. </S4> <S5> , unsupervised , supervised , keyword , similarity , association rule , semantic. </S5>",0.3333333333333333,0.16666666666666666,0.0,0.0,0.16666666666666666,0.0,,0.3333333333333333,,6,2
test,363,804.4525,cs,"<S0> We study the problem of generating a test sequence that achieves maximal coverage for a reactive system under test. </S0> <S1> We formulate the problem as a repeated game between the tester and the system , where the system state space is partitioned according to some coverage criterion and the objective of the tester is to maximize the set of partitions ( or coverage goals ) visited during the game. </S1> <S2> We show the complexity of the maximal coverage problem for non - deterministic systems is pspace - complete , but is np - complete for deterministic systems . for the special case of non - deterministic systems with a re - initializing `` reset '' action , which represent running a new test input on a re - initialized system. </S2> <S3> We show that the complexity is again co - np - complete. </S3> <S4> Our proof technique for reset games uses randomized testing strategies that circumvent the exponentially large memory requirement in the deterministic case. </S4>",0.4,0.0,0.0,0.2,0.2,0.0,,0.2,,5,1
test,4124,1009.5972,cs,"<S0> We propose a focus of attention mechanism to speed up the perceptron algorithm. </S0> <S1> Focus of attention speeds up the perceptron algorithm by lowering the number of features evaluated throughout training and prediction . whereas the traditional perceptron evaluates all the features of each example , the attentive perceptron evaluates less features for easy to classify examples , there by achieving significant speedups and small losses in prediction accuracy. </S1> <S2> Focus of attention allows the attentive perceptron to stop the evaluation of features at any interim point and filter the example. </S2> <S3> This creates an attentive filter which concentrates computation at examples that are hard to classify , and quickly filters examples that are easy to classify. </S3>",0.25,0.0,0.0,0.0,0.5,0.0,,0.25,,4,1
test,1385,905.3757,cs,"<S0> We show that tools from circuit complexity can be used to study decompositions of global constraints. </S0> <S1> In particular , we study decompositions of global constraints into conjunctive normal form with the property that unit propagation on the decomposition enforces the same level of consistency as a specialized propagation algorithm. </S1> <S2> We prove that a constraint propagator has a a polynomial size decomposition if and only if it can be computed by a polynomial size monotone boolean circuit. </S2> <S3> Lower bounds on the size of monotone boolean circuits thus translate to lower bounds on the size of decompositions of global constraints . for instan. </S3> <S4> , we prove that there is no polynomial sized decomposition of the domain consistency propagator for the constraint. </S4>",0.4,0.0,0.0,0.2,0.0,0.0,,0.4,,5,2
test,2016,cs0112020,cs,"<S0> Concrete computing machines , either sequential or concurrent , rely on an intimate relation between computation and time. </S0> <S1> We recall the general characteristic properties of physical time and of present realizations of computing systems. </S1> <S2> We emphasize the role of computing interferences , i.e. the necessity to avoid them in order to give a causal implementation to logical operations. </S2> <S3> We compare synchronous and asynchronous systems , and make a brief survey of some methods used to deal with computing interferences . using a graphic representation , we show that synchronous and asynchronous circuits reflect the same opposition as the newtonian and relativistic causal structures for physical space - time. </S3>",0.75,0.0,0.0,0.0,0.0,0.0,,0.25,,4,1
test,4657,1512.08424,cs,"<S0> We study the applicability of a set of texture descriptors introduced in recent work by the author to texture - based segmentation of images. </S0> <S1> The texture descriptors under investigation result from applying graph indices from quantitative graph theory to graphs encoding the local structure of images. </S1> <S2> The underlying graphs arise from the computation of morphological amoebas as structuring elements for adaptive morphology , either as weighted or unweighted dijkstra search trees or as edge - weighted pixel graphs within structuring elements . in the present paper we focus on texture descriptors in which the graph indices are entropy - based , and use them in a geodesic active contour framework for image segmentation. </S2> <S3> Experiments on several synthetic and one real - world image are shown to demonstrate texture segmentation by this approach. </S3> <S4> Forthermore , we undertake an attempt to analyse selected entropy - based texture descriptors with regard to what information about texture they actually encode. </S4> <S5> Whereas this analysis uses some heuristic assumptions , it indicates that the graph - based texture descriptors are related to fractal dimension measures that have been proven useful in texture analysis . * keywords : * texture segmentation @xmath0 texture descriptors @xmat. </S5> <S6> Graph entropy @xmath0 geodesic active contours @xmath0 fractal dimensi. </S6>",0.2857142857142857,0.0,0.2857142857142857,0.0,0.0,0.0,,0.42857142857142855,,7,3
test,5862,1507.07096,cs,"<S0> The object recognition is a complex problem in the image processing. </S0> <S1> Mathematical morphology is shape oriented operations , that simplify image data , preserving their essential shape characteristics and eliminating irrelevancies. </S1> <S2> This paper briefly describes morphological operators using hypergraph and its applications for thinning algorithms. </S2> <S3> The morphological operators using hypergraph method is used to preventing errors and irregularities in skeleton , and is an important step recognizing line objects. </S3> <S4> The morphological operators using hypergraph such as dilation , erosion , opening , closing is a novel approach in image processing and it act as a filter remove the noise and errors in the images . * index terms *- mathematical morphology , graphs , hyper graph , alternative sequential filt. </S4>",0.6,0.0,0.0,0.0,0.2,0.0,,0.2,,5,1
test,5983,1311.5636,cs,"<S0> Feature selection plays a pivotal role in learning , particularly in areas were parsimonious features can provide insight into the underlying process , such as biology. </S0> <S1> Recent approaches for non - linear feature selection employing greedy optimisation of centred kernel target alignment ( kta ) , while exhibiting strong results in terms of generalisation accuracy and sparsity , can become computationally prohibitive for high - dimensional datasets. </S1> <S2> We propose randsel , a randomised feature selection algorithm , with attractive scaling properties. </S2> <S3> Our theoretical analysis of randsel provides strong probabilistic guarantees for the correct identification of relevant features. </S3> <S4> Experimental results on real and artificial data , show that the method successfully identifies effective features , performing better than a number of competitive approaches . ... </S4> <S5> Feature selection , kernels ... </S5>",0.5,0.0,0.16666666666666666,0.0,0.0,0.0,,0.3333333333333333,,6,2
test,4993,1602.00753,cs,"<S0> Human vision greatly benefits from the information about sizes of objects. </S0> <S1> The role of size in several visual reasoning tasks has been thoroughly explored in human perception and cognition. </S1> <S2> However , the impact of the information about sizes of objects is yet to be determined in ai. </S2> <S3> We postulate that this is mainly attributed to the lack of a comprehensive repository of size information . in this paper , we introduce a method to automatically infer object sizes , leveraging visual and textual information from web . by maximizing the joint likelihood of textual and visual observations , our method learns reliable relative size estimates , with no explicit human supervision . we introduce the relative size dataset and show that our method outperforms competitive textual and visual baselines in reasoning about size comparisons. </S3>",0.75,0.0,0.0,0.0,0.0,0.0,,0.25,,4,1
test,4192,cs0604075,cs,"<S0> We investigate a prototypical agent - based model , the naming game , on random geometric networks. </S0> <S1> The naming game is a minimal model , employing local communications that captures the emergence of shared communication schemes ( languages ) in a population of autonomous semiotic agents . implementing the naming games on random geometric graphs , local communications being local broadcasts. </S1> <S2> Serves as a model for agreement dynamics in large - scale , autonomously operating wireless sensor networks. </S2> <S3> Further , it captures essential features of the scaling properties of the agreement process for spatially - embedded autonomous agents. </S3> <S4> We also present results for the case when a small density of long - range communication links are added on top of the random geometric graph , resulting in a small - world "" - like network and yielding a significantly reduced time to reach global agreement. </S4>",0.4,0.0,0.0,0.0,0.0,0.0,,0.4,,5,2
